4K,#genre#
CCTV-4K,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=4005#https://live.v1.mk/api/bestv.php?id=cctv4k/15000000#http://192.168.2.254:5678/sxg.php?id=ys4Kcq_2000#http://159.75.85.63:5679/cctv4k.php#http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTV4K/__op/default/__f//index.m3u8
CCTV16-4K,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=4010#https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000#http://192.168.2.254:5678/sxg.php?id=CCTV-16-4K_8000#https://live.v1.mk/aishang/cctv164k#http://baidu.live.cqccn.com/__cl/cg:live/__c/CCTV16_4K/__op/default/__f//index.m3u8
广东综艺4K,http://192.168.2.254:5678/gudou.php?phone=13536273645&ptoken=3YfMVuJefrG1XyVpttqh3Q%3D%3D&pserialnumber=0ef026af061cd5a5&cid=1330&id=GDZYHD4K_38000
欢笑剧场4K,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000#http://192.168.2.254:5678/sxg.php?id=hxjc-4k_8000#http://baidu.live.cqccn.com/__cl/cg:live/__c/hxjc_4K/__op/default/__f//index.m3u8

央视,#genre#
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-1H265_4000#https://live.v1.mk/aishang/cctv1hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV1HD_6000
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-2H265_4000#https://live.v1.mk/aishang/cctv2hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv2HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV2HD_6000
CCTV3,https://live.v1.mk/api/bestv.php?id=cctv38m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-3H265_4000#https://live.v1.mk/aishang/cctv3hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv3HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV4,https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-4H265_4000#https://live.v1.mk/aishang/cctv4hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv4HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV4HD_6000
CCTV5,https://live.v1.mk/api/bestv.php?id=cctv58m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-5H265_4000#https://live.v1.mk/aishang/cctv5hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV5HD_6000
CCTV5+,https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-5plusH265_4000#https://live.v1.mk/aishang/cctv5p#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv5SportHD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV5plusHD_6000
CCTV6,https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-6H265_4000#https://live.v1.mk/aishang/cctv6hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv6HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV6HD_6000
CCTV7,https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-7H265_4000#https://live.v1.mk/aishang/cctv7hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv7HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV7HD_6000
CCTV8,https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-8H265_4000#https://live.v1.mk/aishang/cctv8hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv8HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000
CCTV9,https://live.v1.mk/api/bestv.php?id=cctv9hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-9H265_4000#https://live.v1.mk/aishang/cctv9hd2#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv9HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV9HD_6000
CCTV10,https://live.v1.mk/api/bestv.php?id=cctv10hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-10H265_4000#https://live.v1.mk/aishang/cctv10hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv10HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV10HD_6000
CCTV11,https://live.v1.mk/api/bestv.php?id=cctv11hd8m/8000000#http://192.168.2.254:5678/sxg.php?id=CCTV-11-H265_4000#https://live.v1.mk/aishang/cctv11hd#http://baidu.live.cqccn.com/__cl/cg:live/__c/cctv11HD/__op/default/__f//index.m3u8#https://live.v1.mk/api/ghyx.php?id=CCTV11HD_6000
